,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,seq_bn,385.2677,95.207,11.914,2862720242135040.0,0.4439809263142106,10.0,10.0,3668,385.61936140060425,0.3609456717967987,0.8357843137254902,0.882249560632689,0.8590169371790897,2.0552,198.52,24.815,10.0,10.0
1,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,prefix_tuning,373.7019,98.153,12.283,2835687629107200.0,0.5670687806372549,10.0,10.0,3668,374.08377838134766,0.5263713598251343,0.7377450980392157,0.8288000000000001,0.783272549019608,2.0125,202.737,25.342,10.0,10.0
2,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,mam_adapter,482.1579,76.075,9.52,3687947816448000.0,0.2885327499156944,10.0,10.0,3668,482.5414502620697,1.0087898969650269,0.821078431372549,0.8730434782608695,0.8470609548167092,2.1805,187.115,23.389,10.0,10.0
3,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,compacter_plusplus,369.4216,99.29,12.425,2813127098019840.0,0.5819994159773284,10.0,10.0,3668,369.8032100200653,0.5433467030525208,0.7254901960784313,0.8308157099697885,0.7781529530241099,1.9289,211.518,26.44,10.0,10.0
4,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,unipelt,598.4139,61.295,7.67,3284237233643520.0,0.40103036053559876,10.0,10.0,3668,598.7978477478027,0.38570070266723633,0.8627450980392157,0.902439024390244,0.8825920612147299,2.607,156.5,19.562,10.0,10.0
5,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,lora,374.4033,97.969,12.26,2824783717969920.0,0.52039736080793,10.0,10.0,3668,374.79467844963074,0.45473799109458923,0.803921568627451,0.868421052631579,0.836171310629515,1.9388,210.436,26.305,10.0,10.0
6,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,seq_bn_16_2_relu,402.2781,91.181,11.41,3037296402739200.0,0.37981475464399084,10.0,10.0,3668,402.660870552063,0.46710097789764404,0.8529411764705882,0.8976109215017065,0.8752760489861473,2.0094,203.046,25.381,10.0,10.0
7,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,seq_bn_16_2_tanh,402.2215,91.194,11.412,3037296402739200.0,0.3542383048529199,10.0,10.0,3668,402.607519865036,0.45309048891067505,0.8602941176470589,0.9018932874354562,0.8810937025412575,2.0515,198.879,24.86,10.0,10.0
8,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,ia3,375.537,97.673,12.222,2814139423764480.0,0.5796903589452274,10.0,10.0,3668,375.9292850494385,0.5441031455993652,0.7254901960784313,0.8292682926829268,0.7773792443806791,1.9481,209.436,26.179,10.0,10.0
9,saad,2024-07-24 21:18:05.872834,facebook/bart-base,glue,mrpc,True,prompt_tuning,202.4048,181.221,22.677,2812322105241600.0,0.5943851313040407,10.0,10.0,3668,202.79715633392334,0.5634697079658508,0.7107843137254902,0.8233532934131738,0.767068803569332,1.9016,214.559,26.82,10.0,10.0
