,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,seq_bn,1124.325,83.846,10.486,7357378332226560.0,0.5912451358241889,10.0,10.0,9427,1124.6245985031128,0.6306383609771729,0.6568807339449542,17.6634,185.129,23.155,10.0,10.0
1,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,prefix_tuning,1110.9808,84.853,10.612,7287902747980800.0,0.6464754656273193,10.0,10.0,9427,1111.2989628314972,0.6483761072158813,0.6287461773700306,18.2694,178.988,22.387,10.0,10.0
2,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,mam_adapter,1397.1385,67.474,8.439,9478267193472000.0,0.6686549166484441,10.0,10.0,9427,1397.5077843666077,0.6631553769111633,0.6217125382262997,19.8354,164.857,20.62,10.0,10.0
3,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,compacter_plusplus,1092.6232,86.279,10.791,7229920706933760.0,0.6340194740974873,10.0,10.0,9427,1092.9739820957184,0.6549409627914429,0.6324159021406728,17.5942,185.857,23.246,10.0,10.0
4,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,unipelt,1718.4735,54.857,6.861,8440704580577280.0,0.5636053782585215,10.0,10.0,9427,1718.8099703788757,0.5691967606544495,0.7217125382262997,23.5209,139.025,17.389,10.0,10.0
5,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,lora,1115.7907,84.487,10.566,7259878982906880.0,0.608753714913327,10.0,10.0,9427,1116.135754108429,0.6326497197151184,0.6483180428134556,17.6528,185.239,23.169,10.0,10.0
6,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,seq_bn_16_2_relu,1184.7978,79.566,9.951,7806050487628800.0,0.5434051228944683,10.0,10.0,9427,1185.150824546814,0.5956068634986877,0.7250764525993884,18.2246,179.428,22.442,10.0,10.0
7,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,seq_bn_16_2_tanh,1184.6336,79.577,9.952,7806050487628800.0,0.4824607946187182,10.0,10.0,9427,1184.9979813098907,0.7615581750869751,0.7155963302752294,18.3598,178.106,22.277,10.0,10.0
8,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,ia3,1104.3497,85.362,10.676,7232522450334720.0,0.633628533309147,10.0,10.0,9427,1104.7083344459534,0.6547895073890686,0.6324159021406728,17.515,186.697,23.351,10.0,10.0
9,saad,2024-07-24 17:25:18.276196,facebook/bart-base,super_glue,boolq,True,prompt_tuning,640.2502,147.239,18.415,7227851822822400.0,0.6419944031952396,10.0,10.0,9427,640.6085300445557,0.6590527892112732,0.6302752293577981,16.8433,194.142,24.283,10.0,10.0
