,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn,984.4256,95.761,11.977,6330396306600960.0,0.4912604230859706,10.0,10.0,9427,984.7217528820038,0.5344648361206055,0.7853211009174312,14.0246,233.161,29.163,10.0,10.0
1,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,prefix_tuning,959.3179,98.268,12.29,6240903747302400.0,0.6597684774487781,10.0,10.0,9427,959.6166565418243,0.6531965136528015,0.6235474006116208,13.8808,235.578,29.465,10.0,10.0
2,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,mam_adapter,1167.5732,80.74,10.098,7827751761392640.0,0.6667222868294105,10.0,10.0,9427,1167.8711051940918,0.6518787741661072,0.6226299694189602,15.4422,211.757,26.486,10.0,10.0
3,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,compacter_plusplus,942.9851,99.97,12.503,6202938681308160.0,0.6536927874357241,10.0,10.0,9427,943.2861008644104,0.646579921245575,0.6278287461773701,13.2879,246.088,30.78,10.0,10.0
4,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,unipelt,1298.1234,72.62,9.082,7002743099151360.0,0.4676892255503207,10.0,10.0,9427,1298.4283230304718,0.5824056267738342,0.7862385321100918,16.8757,193.77,24.236,10.0,10.0
5,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,lora,919.9045,102.478,12.817,6222221237253120.0,0.5707149282363232,10.0,10.0,9427,920.2241249084473,0.5322040319442749,0.7373088685015291,13.5553,241.233,30.173,10.0,10.0
6,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn_16_2_relu,1047.5572,89.99,11.255,6779068462003200.0,0.3791853188861721,10.0,10.0,9427,1047.8675646781921,0.8320485949516296,0.8012232415902141,14.3475,227.914,28.507,10.0,10.0
7,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,seq_bn_16_2_tanh,1046.4209,90.088,11.267,6779068462003200.0,0.28634955978070004,10.0,10.0,9427,1046.7245485782623,1.144849181175232,0.7914373088685015,14.5804,224.274,28.051,10.0,10.0
8,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,ia3,959.0158,98.299,12.294,6204873192207360.0,0.6522370704864424,10.0,10.0,9427,959.3238346576691,0.6445143818855286,0.6324159021406728,13.788,237.163,29.663,10.0,10.0
9,saad,2024-07-24 11:34:27.126698,google/electra-base-discriminator,super_glue,boolq,True,prompt_tuning,984.9577,95.71,11.97,6200869797196800.0,0.6575484336484176,10.0,10.0,9427,985.2669246196747,0.645385205745697,0.6302752293577981,13.9658,234.144,29.286,10.0,10.0
