,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn,411.439,207.832,25.982,2931457442887680.0,0.41525535476441916,10.0,10.0,8551,411.81371998786926,0.6013100147247314,0.49249265259737396,2.2446,464.662,58.361,10.0,10.0
1,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,prefix_tuning,397.4032,215.172,26.9,2890869192407040.0,0.5700594296290341,10.0,10.0,8551,397.75651240348816,0.575188398361206,0.21149744407259766,2.4654,423.059,53.136,10.0,10.0
2,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,mam_adapter,490.1472,174.458,21.81,3630765216921600.0,0.2917654132040111,10.0,10.0,8551,490.5100691318512,1.0848197937011719,0.5070207143299597,2.6216,397.85,49.97,10.0,10.0
3,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,compacter_plusplus,402.2958,212.555,26.572,2873652704778240.0,0.5456804009661482,10.0,10.0,8551,402.6668004989624,0.5607894659042358,0.33664423904924584,2.3766,438.854,55.12,10.0,10.0
4,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,unipelt,610.404,140.088,17.513,3249320457676800.0,0.3962044668599085,10.0,10.0,8551,610.7669444084167,0.623809814453125,0.5123240976315012,3.1833,327.644,41.152,10.0,10.0
5,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,lora,380.1093,224.962,28.123,2882395969566720.0,0.4753984756398357,10.0,10.0,8551,380.48180174827576,0.5173315405845642,0.4420898648237221,2.2086,472.252,59.314,10.0,10.0
6,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_relu,429.2571,199.205,24.903,3134947185162240.0,0.33148043340784683,10.0,10.0,8551,429.63016057014465,0.8720617294311523,0.5165560626605169,2.3905,436.319,54.801,10.0,10.0
7,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,seq_bn_16_2_tanh,428.5864,199.516,24.942,3134947185162240.0,0.28467983606265346,10.0,10.0,8551,428.949355840683,1.0686208009719849,0.5037970015010991,2.3825,437.784,54.985,10.0,10.0
8,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,ia3,390.5485,218.948,27.372,2874527976929280.0,0.5426756270919814,10.0,10.0,8551,390.9179871082306,0.5583287477493286,0.3362412593406067,2.2052,472.971,59.405,10.0,10.0
9,saad,2024-07-23 17:51:20.438528,distilbert/distilbert-base-uncased,glue,cola,True,prompt_tuning,413.4873,206.802,25.853,2872712286320640.0,0.592404982706896,10.0,10.0,8551,413.86218786239624,0.5954628586769104,0.0592680243795702,2.4232,430.414,54.06,10.0,10.0
