,user,generated_on,model_name,dataset_name,task_name,used_adapter,adapter_type,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch,epoch,train_samples,training_time,eval_loss,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,epoch
0,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,seq_bn,915.0354,93.45,11.683,6673697053025280.0,0.48830683166675193,10.0,10.0,8551,915.6446123123169,0.701732337474823,0.3738775071170718,5.3031,196.679,24.703,10.0,10.0
1,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,prefix_tuning,882.4006,96.906,12.115,6610677458150400.0,0.5749270547094247,10.0,10.0,8551,882.8280439376831,0.6017991900444031,0.18197557342971335,5.4731,190.569,23.935,10.0,10.0
2,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,mam_adapter,1139.2166,75.06,9.384,8597503211136000.0,0.3891373180250234,10.0,10.0,8551,1139.6644768714905,0.9915817379951477,0.4899667634004927,6.0077,173.611,21.805,10.0,10.0
3,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,compacter_plusplus,884.6242,96.663,12.084,6558083373818880.0,0.5729236627762512,10.0,10.0,8551,885.0720038414001,0.6193585991859436,0.13611320682675296,5.1632,202.007,25.372,10.0,10.0
4,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,unipelt,1489.7783,57.398,7.176,7656355666544640.0,0.4707318868895799,10.0,10.0,8551,1490.2154576778412,0.6074903607368469,0.4882441186441421,7.2451,143.959,18.081,10.0,10.0
5,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,lora,884.8155,96.642,12.082,6585257789629440.0,0.5121992491248393,10.0,10.0,8551,885.2769820690155,0.6913231611251831,0.3420819161583976,5.2253,199.607,25.071,10.0,10.0
6,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,seq_bn_16_2_relu,944.7729,90.509,11.315,7080676537574400.0,0.45221536206351587,10.0,10.0,8551,945.2332956790924,0.7609679698944092,0.4484877236056637,5.5102,189.285,23.774,10.0,10.0
7,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,seq_bn_16_2_tanh,945.9996,90.391,11.3,7080676537574400.0,0.402683582787652,10.0,10.0,8551,946.4705684185028,0.9276900291442871,0.4398264575924005,5.4899,189.987,23.862,10.0,10.0
8,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,ia3,880.0792,97.162,12.147,6560443351311360.0,0.5724478797448697,10.0,10.0,8551,880.563227891922,0.6172286868095398,0.16188057245149598,5.2768,197.659,24.826,10.0,10.0
9,saad,2024-07-23 23:38:47.054797,facebook/bart-base,glue,cola,True,prompt_tuning,478.5432,178.688,22.339,6556206739891200.0,0.5857969821112752,10.0,10.0,8551,478.9644286632538,0.5912330150604248,0.1681096950363583,4.9739,209.693,26.337,10.0,10.0
