,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_f1,eval_combined_score,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type
0,saad,2024-07-24 02:44:07.701797,0.9074,4.4606475830078125,4.5e-05,1.0,32,0.8728869557380676,0.6964285714285714,0.48557919621749407,0.5910038838230327,0.2466,227.047,28.381,32,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
1,saad,2024-07-24 02:44:07.701797,0.7659,3.597357988357544,4e-05,2.0,64,0.8160514235496521,0.6964285714285714,0.486277269528501,0.5913529204785362,0.2398,233.57,29.196,64,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
2,saad,2024-07-24 02:44:07.701797,0.7195,9.523804664611816,3.5e-05,3.0,96,0.790319561958313,0.6964285714285714,0.486277269528501,0.5913529204785362,0.2422,231.248,28.906,96,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
3,saad,2024-07-24 02:44:07.701797,0.6363,3.4135587215423584,3e-05,4.0,128,0.7845352292060852,0.6964285714285714,0.486277269528501,0.5913529204785362,0.2486,225.263,28.158,128,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
4,saad,2024-07-24 02:44:07.701797,0.647,9.57528305053711,2.5e-05,5.0,160,0.8076804280281067,0.6964285714285714,0.486277269528501,0.5913529204785362,0.2413,232.034,29.004,160,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
5,saad,2024-07-24 02:44:07.701797,0.5928,1.9199552536010742,2e-05,6.0,192,0.7994526624679565,0.6964285714285714,0.486277269528501,0.5913529204785362,0.2545,220.031,27.504,192,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
6,saad,2024-07-24 02:44:07.701797,0.5995,9.072163581848145,1.5e-05,7.0,224,0.7901217341423035,0.7142857142857143,0.49858757062146886,0.6064366424535916,0.2539,220.578,27.572,224,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
7,saad,2024-07-24 02:44:07.701797,0.564,1.86506986618042,1e-05,8.0,256,0.7870678901672363,0.7142857142857143,0.49858757062146886,0.6064366424535916,0.2462,227.497,28.437,256,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
8,saad,2024-07-24 02:44:07.701797,0.5588,1.1790082454681396,5e-06,9.0,288,0.7907991409301758,0.7142857142857143,0.49858757062146886,0.6064366424535916,0.2492,224.684,28.086,288,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
9,saad,2024-07-24 02:44:07.701797,0.5794,10.466328620910645,0.0,10.0,320,0.7930415868759155,0.7142857142857143,0.49858757062146886,0.6064366424535916,0.2484,225.44,28.18,320,distilbert/distilbert-base-uncased,super_glue,cb,True,seq_bn
