,user_name,generated_on,train_loss,grad_norm,learning_rate,epoch,step_x,val_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,step_y,model_string,dataset_name,task_name,used_adapter,adapter_type,user_name,generated_on
0,saad,2024-07-24 03:55:23.199379,0.7243,15.901637077331543,4.5e-05,1.0,312,0.7389408349990845,0.4729241877256318,2.5059,110.541,13.967,312,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
1,saad,2024-07-24 03:55:23.199379,0.6409,4.759756565093994,4e-05,2.0,624,0.6126389503479004,0.6714801444043321,2.5716,107.716,13.61,624,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
2,saad,2024-07-24 03:55:23.199379,0.4766,13.097685813903809,3.5e-05,3.0,936,0.6790925860404968,0.6606498194945848,2.5945,106.763,13.49,936,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
3,saad,2024-07-24 03:55:23.199379,0.3485,71.44654846191406,3e-05,4.0,1248,1.2794383764266968,0.6859205776173285,2.5385,109.119,13.788,1248,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
4,saad,2024-07-24 03:55:23.199379,0.2152,45.64668655395508,2.5e-05,5.0,1560,1.6609809398651123,0.7003610108303249,2.5274,109.598,13.848,1560,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
5,saad,2024-07-24 03:55:23.199379,0.1555,0.10457823425531387,2e-05,6.0,1872,1.647510290145874,0.7003610108303249,2.5423,108.956,13.767,1872,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
6,saad,2024-07-24 03:55:23.199379,0.0916,0.020264392718672752,1.5e-05,7.0,2184,1.9628932476043701,0.703971119133574,2.5396,109.074,13.782,2184,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
7,saad,2024-07-24 03:55:23.199379,0.0616,0.010374249890446663,1e-05,8.0,2496,2.0712270736694336,0.7111913357400722,2.5219,109.836,13.878,2496,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
8,saad,2024-07-24 03:55:23.199379,0.024,0.002858489751815796,5e-06,9.0,2808,2.302029609680176,0.703971119133574,2.5597,108.217,13.674,2808,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
9,saad,2024-07-24 03:55:23.199379,0.009,0.0025849412195384502,0.0,10.0,3120,2.4325780868530273,0.7075812274368231,2.6066,106.269,13.427,3120,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
10,saad,2024-07-24 03:55:23.199379,0.009,0.0025849412195384502,0.0,10.0,3120,2.4325780868530273,0.7075812274368231,2.6779,103.438,13.07,3120,facebook/bart-base,super_glue,rte,False,NA,saad,2024-07-24 03:55:23.199379
